city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Barrow,71.29,-156.79,35.6,74,90,17.22,US,1600807802
Srednekolymsk,67.45,153.68,39.45,92,100,2.55,RU,1600807837
Svetlaya,46.54,138.33,55.51,82,83,6.82,RU,1600808005
Bako,5.78,36.57,70.29,60,71,2.26,ET,1600808005
Sioux Lookout,50.1,-91.92,71.6,49,40,6.93,CA,1600807787
Mataura,-46.19,168.86,53.01,90,70,7.0,NZ,1600808006
Isangel,-19.55,169.27,69.8,88,20,13.18,VU,1600808006
Tuatapere,-46.13,167.68,53.01,90,40,7.0,NZ,1600808006
Springfield,37.22,-93.3,69.58,73,90,4.7,US,1600807860
Castro,-24.79,-50.01,57.52,73,41,9.95,BR,1600807873
East London,-33.02,27.91,60.84,72,2,9.26,ZA,1600808007
Arraial do Cabo,-22.97,-42.03,66.2,93,90,13.87,BR,1600807803
Hilo,19.73,-155.09,79.38,65,90,3.36,US,1600807785
Altay,47.87,88.12,52.66,50,23,4.27,CN,1600808007
Catia La Mar,10.6,-67.03,91.4,59,20,8.05,VE,1600808007
Hong Kong,22.29,114.16,81.46,80,80,11.16,HK,1600807752
Dongsheng,39.82,109.98,50.34,87,79,3.51,CN,1600808008
Saint Paul Harbor,57.79,-152.41,51.8,81,90,19.46,US,1600807882
Jutaí,-5.18,-68.9,87.42,58,79,3.94,BR,1600808008
Alofi,-19.06,-169.92,68.85,89,100,17.43,NU,1600808008
Yumen,40.28,97.2,49.96,47,0,1.99,CN,1600807841
Thompson,55.74,-97.86,53.6,71,90,11.41,CA,1600807919
Ndélé,8.41,20.65,72.36,93,100,1.12,CF,1600808009
Port Alfred,-33.59,26.89,58.23,75,0,5.75,ZA,1600808009
Nikolskoye,59.7,30.79,53.31,81,95,4.47,RU,1600808009
Atbasar,51.8,68.33,39.07,93,30,9.42,KZ,1600808009
Hermanus,-34.42,19.23,55.0,87,14,1.01,ZA,1600808009
Lethem,3.38,-59.8,91.96,52,50,2.98,GY,1600808009
Leningradskiy,69.38,178.42,39.52,83,100,17.22,RU,1600808010
Te Anau,-45.42,167.72,52.48,87,41,4.85,NZ,1600808010
Cayenne,4.93,-52.33,86.0,70,8,11.41,GF,1600808010
Katsuura,35.13,140.3,68.59,94,75,12.75,JP,1600807898
Rikitea,-23.12,-134.97,72.72,75,99,17.85,PF,1600807821
El Cobre,20.05,-75.95,86.0,70,75,4.7,CU,1600808010
Asău,46.43,26.4,54.0,84,8,3.29,RO,1600808010
Port Hedland,-20.32,118.57,66.2,24,0,6.93,AU,1600807843
Ushuaia,-54.8,-68.3,44.6,74,40,19.46,AR,1600807867
Taldan,53.67,124.8,44.11,96,100,6.13,RU,1600808011
George Town,5.41,100.34,77.0,94,40,5.82,MY,1600808011
Pevek,69.7,170.31,38.1,90,100,19.86,RU,1600807780
Talnakh,69.49,88.4,51.8,76,75,26.84,RU,1600808011
Ponta do Sol,32.67,-17.1,74.34,69,20,4.7,PT,1600808011
Noshiro,40.2,140.02,61.66,80,0,8.72,JP,1600808012
Hudiksvall,61.73,17.1,49.32,89,92,7.18,SE,1600808012
Faanui,-16.48,-151.75,77.95,78,5,17.58,PF,1600808012
New Norfolk,-42.78,147.06,46.09,79,77,5.93,AU,1600808012
Yamada,39.47,141.95,64.33,84,100,2.44,JP,1600808012
Vaini,-21.2,-175.2,73.4,83,75,10.29,TO,1600808012
Guerrero Negro,27.98,-114.06,87.93,35,0,11.74,MX,1600808013
Dikson,73.51,80.55,41.05,88,68,14.65,RU,1600808013
Atuona,-9.8,-139.03,78.57,72,91,19.51,PF,1600807812
Montauban,44.02,1.35,64.54,82,97,3.36,FR,1600808013
Husavik,66.04,-17.34,35.6,91,75,5.82,IS,1600808015
San Patricio,19.22,-104.7,91.4,70,40,13.87,MX,1600807851
Port Macquarie,-31.43,152.92,52.45,97,0,1.57,AU,1600807879
Ribeira Grande,38.52,-28.7,69.8,73,40,16.11,PT,1600808016
Busselton,-33.65,115.33,46.53,77,53,8.16,AU,1600808016
Esperance,-33.87,121.9,46.4,100,75,6.93,AU,1600808016
Gaoual,11.75,-13.2,76.35,91,5,3.22,GN,1600808016
Lugoba,-6.45,38.33,72.72,82,25,2.19,TZ,1600808017
Udachny,66.42,112.4,41.0,65,0,4.47,RU,1600808017
Nyurba,63.28,118.33,40.68,83,0,3.96,RU,1600808017
Cherskiy,68.75,161.3,36.32,81,99,5.91,RU,1600807858
Yellowknife,62.46,-114.35,52.11,81,20,20.8,CA,1600808017
Carnarvon,-24.87,113.63,53.6,66,0,8.05,AU,1600808017
Constantine,36.37,6.61,69.8,83,40,4.7,DZ,1600808017
Yushu,44.8,126.53,49.15,98,30,1.92,CN,1600808018
Kaitangata,-46.28,169.85,55.99,74,65,3.0,NZ,1600808018
Tabuleiro do Norte,-5.25,-38.13,81.45,61,1,13.62,BR,1600808018
Yenagoa,4.92,6.26,75.27,94,99,3.83,NG,1600808018
Port Lincoln,-34.73,135.87,52.05,80,5,15.88,AU,1600808018
Ayan,56.45,138.17,51.1,68,45,5.61,RU,1600808019
Lorengau,-2.02,147.27,81.9,80,88,9.08,PG,1600808019
Butaritari,3.07,172.79,83.16,77,2,18.52,KI,1600808019
Cape Town,-33.93,18.42,57.45,87,0,13.87,ZA,1600807990
Jamestown,42.1,-79.24,63.73,51,1,8.05,US,1600808019
Bonthe,7.53,-12.51,78.15,86,27,5.44,SL,1600808019
Puerto Escondido,15.85,-97.07,87.8,62,5,6.93,MX,1600808019
